weight,height ,class,class name
62.082,149.8,1,small
67.103,149.22,1,small
51.252,152.22,1,small
63.339,150.96,1,small
61.235,147.75,1,small
54.935,148.59,1,small
58.321,147.66,1,small
61.327,151.13,1,small
73.859,150.74,1,small
70.726,146.34,1,small
54.772,145.74,1,small
71.754,149.91,1,small
62.809,151.56,1,small
59.756,150.38,1,small
62.768,146.55,1,small
59.206,146.53,1,small
59.519,151.94,1,small
65.77,149.67,1,small
65.457,149.14,1,small
65.489,152.94,1,small
62.601,148.22,1,small
55.323,150.3,1,small
62.778,150.93,1,small
66.314,151.83,1,small
61.893,148.09,1,small
64.007,150.8,1,small
62.815,156.15,1,small
58.825,146.62,1,small
61.138,150.97,1,small
56.951,149.49,1,small
63.441,148.15,1,small
55.557,148.14,1,small
55.86,151.11,1,small
56.865,155.18,1,small
48.597,148.22,1,small
65.571,151.21,1,small
61.259,148.75,1,small
57.076,154.42,1,small
65.307,151.22,1,small
53.371,149.69,1,small
59.604,151.39,1,small
59.065,149.99,1,small
61.236,152.48,1,small
61.212,149.59,1,small
56.65,147.49,1,small
59.884,150.55,1,small
59.361,153.49,1,small
62.431,147.32,1,small
64.234,149.46,1,small
64.296,152.25,1,small
56.655,145.71,1,small
60.3,151.4,1,small
55.298,151.68,1,small
55.687,150.48,1,small
59.973,148.28,1,small
65.936,149.98,1,small
57.019,150.21,1,small
61.438,152.09,1,small
59.126,151.48,1,small
64.328,149.22,1,small
55.782,153.62,1,small
60.126,149.89,1,small
62.14,148.18,1,small
64.263,149.02,1,small
65.981,151.92,1,small
60.333,150.44,1,small
54.223,151.99,1,small
57.125,150.15,1,small
55.889,155.56,1,small
69.103,146.28,1,small
57.616,149.07,1,small
62.897,149.81,1,small
59.255,150.2,1,small
63.442,153.26,1,small
57.038,150.49,1,small
54.569,149.74,1,small
54.491,150.15,1,small
61.891,151.68,1,small
59.313,148.46,1,small
59.241,151.01,1,small
65.497,146.5,1,small
61.129,149.82,1,small
60.766,147.89,1,small
66.149,148.54,1,small
56.884,150.63,1,small
62.698,147.48,1,small
63.234,147.79,1,small
59.056,146.61,1,small
60.835,145.02,1,small
55.485,149.66,1,small
55.554,152.6,1,small
60.406,149.59,1,small
62.797,149.48,1,small
70.014,147.66,1,small
57.417,153.54,1,small
60.726,149.44,1,small
59.681,152.89,1,small
52.513,150.81,1,small
58.3,149.41,1,small
53.049,152.42,1,small
63.255,152.2,1,small
56.561,149.75,1,small
60.388,152.9,1,small
57.891,153.98,1,small
61.176,149.85,1,small
57.675,149.43,1,small
61.898,150.9,1,small
62.864,150.79,1,small
66.63,151.81,1,small
59.248,149.43,1,small
51.718,151.6,1,small
56.748,152.34,1,small
65.246,150.4,1,small
55.848,150.34,1,small
63.722,147.2,1,small
60.48,147.38,1,small
65.564,146.73,1,small
52.405,147.22,1,small
59.234,149.65,1,small
55.322,146.39,1,small
71.263,155.02,1,small
63.196,151.65,1,small
65.341,145.38,1,small
55.902,147.42,1,small
58.185,149.76,1,small
58.945,146.17,1,small
64.254,148.97,1,small
58.924,152.44,1,small
62.717,149.63,1,small
52.053,149.85,1,small
58.63,147.76,1,small
56.81,148.76,1,small
53.892,146.98,1,small
61.967,150.81,1,small
61.092,148.99,1,small
60.13,151.75,1,small
54.835,152.77,1,small
64.367,152.41,1,small
61.356,149.92,1,small
58.842,148.87,1,small
60.089,147.26,1,small
58.985,150.26,1,small
53.221,152.15,1,small
58.894,149.24,1,small
56.78,149.61,1,small
56.208,151.38,1,small
55.521,151.93,1,small
57.934,146.83,1,small
52.244,150.45,1,small
63.734,150.44,1,small
62.014,149.66,1,small
59.922,152,1,small
59.865,149.19,1,small
56.909,148.15,1,small
63.945,150.62,1,small
59.484,151.03,1,small
57.233,149.51,1,small
65.234,151.78,1,small
59.129,146.61,1,small
57.719,147.6,1,small
58.862,143.13,1,small
56.716,151.17,1,small
55.662,147.78,1,small
69.783,149.43,1,small
66.412,152.26,1,small
61.191,150.11,1,small
55.131,149.02,1,small
56.648,148.1,1,small
59.316,149.46,1,small
63.065,151.35,1,small
54.841,146.61,1,small
50.976,149.85,1,small
54.388,151.75,1,small
61.292,146.82,1,small
61.516,151.5,1,small
61.749,151.53,1,small
59.495,148.03,1,small
60.711,146.64,1,small
58.156,150.97,1,small
63.339,151.81,1,small
54.726,151.29,1,small
61.762,151.71,1,small
56.713,147.36,1,small
58.703,151.31,1,small
62.141,148.7,1,small
64.024,148.74,1,small
55.671,146.52,1,small
64.883,152.46,1,small
62.557,150.39,1,small
59.737,152.24,1,small
59.244,153.38,1,small
